Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft,Floor_Level,Property_Age,Nearby_Amenities
3000,4,4,Unfurnished,"Geetanjali Enclave Project, Geetanjali Enclave, Malviya Nagar",2,67000000,Ready_to_move,New_Property,Builder_Floor,22333.33333,Ground Floor,20+ years,Near Park
850,2,2,Unfurnished,Malviya Nagar,2,8500000,Ready_to_move,Resale,Builder_Floor,10000,3rd Floor,0-5 years,Near Mall
750,2,2,Unfurnished,Malviya Nagar,2,11500000,Almost_ready,New_Property,Builder_Floor,15333.33333,2nd Floor,0-5 years,Near Park
2600,4,5,Semi-Furnished,"Geetanjali Enclave Project, Geetanjali Enclave, Malviya Nagar",3,52500000,Ready_to_move,New_Property,Builder_Floor,20192.30769,Ground Floor,5-10 years,None
800,2,2,Semi-Furnished,Malviya Nagar,1,12000000,Ready_to_move,New_Property,Builder_Floor,15000,1st Floor,20+ years,Near Hospital
550,2,2,Semi-Furnished,Malviya Nagar,2,10700000,Ready_to_move,Resale,Builder_Floor,19454.54545,1st Floor,10-20 years,Near Mall
700,2,2,Semi-Furnished,Malviya Nagar,1,9000000,Ready_to_move,Resale,Apartment,12857.14286,3rd Floor,5-10 years,Near Hospital
2316,3,4,Furnished,"Geetanjali Enclave, Malviya Nagar",1,100000000,Ready_to_move,Resale,Builder_Floor,43177.89292,3rd Floor,20+ years,Near Mall
900,3,2,Semi-Furnished,"Khirki extension, Malviya Nagar",1,6200000,Ready_to_move,Resale,Apartment,6888.888889,3rd Floor,5-10 years,Near Hospital
100,3,2,Semi-Furnished,Malviya Nagar,1,17000000,Ready_to_move,Resale,Builder_Floor,170000,Penthouse,10-20 years,Near Park
900,2,3,Semi-Furnished,"Malviya Nagar carpet area 100 sqyrd status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 2 Open bathroom 3 balcony 2 ownership Freehold It's a Corner three story building, located in South Delhi. Amenities like Market, Schools, Hospitals, Parks, Gyms, Study Centers, Temple are all around. Very Close to Malviya Nagar Metro and Haus Khas Metro Station. Centerlize place to live. Whether you go to Gurgaon or Noida Or to other parts of the city, commuting from here is very easy. read more Contact Owner View Phone No. Share Feedback Owner Rohit",2,12500000,Ready_to_move,Resale,Builder_Floor,13888.88889,3rd Floor,10-20 years,Near Mall
1500,2,2,Semi-Furnished,Malviya Nagar,3,13000000,Ready_to_move,New_Property,Builder_Floor,8666.666667,Ground Floor,5-10 years,Near Metro
650,3,2,Unfurnished,"Khirki extension, Malviya Nagar",3,4200000,Ready_to_move,Resale,Builder_Floor,6461.538462,Ground Floor,0-5 years,Near Mall
2000,4,4,Semi-Furnished,Malviya Nagar,2,36000000,Ready_to_move,New_Property,Builder_Floor,18000,3rd Floor,0-5 years,Near Mall
500,1,1,Unfurnished,Malviya Nagar,2,2300000,Ready_to_move,Resale,Apartment,4600,Penthouse,5-10 years,Near Metro
1125,2,2,Unfurnished,Malviya Nagar,2,8100000,Ready_to_move,Resale,Builder_Floor,7200,Penthouse,0-5 years,None
1300,3,3,Semi-Furnished,Malviya Nagar,1,10000000,Ready_to_move,Resale,Builder_Floor,7692.307692,2nd Floor,0-5 years,Near Park
2500,4,5,Unfurnished,"Geetanjali Enclave, Malviya Nagar",1,62500000,Ready_to_move,New_Property,Builder_Floor,25000,Ground Floor,20+ years,Near Hospital
2200,4,5,Semi-Furnished,"Geetanjali Enclave, Malviya Nagar",2,65000000,Ready_to_move,New_Property,Builder_Floor,29545.45455,Penthouse,20+ years,Near Park
1290,3,2,Semi-Furnished,Malviya Nagar,2,20000000,Ready_to_move,Resale,Builder_Floor,15503.87597,Ground Floor,5-10 years,Near Mall
2250,4,4,Semi-Furnished,"Geetanjali Enclave, Malviya Nagar",2,57500000,Ready_to_move,New_Property,Builder_Floor,25555.55556,3rd Floor,0-5 years,Near Hospital
1350,3,3,Semi-Furnished,"Shivalik, Malviya Nagar",2,30000000,Ready_to_move,New_Property,Builder_Floor,22222.22222,1st Floor,5-10 years,Near Hospital
1400,3,3,Semi-Furnished,"Shivalik, Malviya Nagar",1,30000000,Ready_to_move,New_Property,Builder_Floor,21428.57143,2nd Floor,10-20 years,Near Hospital
1700,3,3,Unfurnished,"Shivalik, Malviya Nagar",2,30000000,Ready_to_move,New_Property,Builder_Floor,17647.05882,Penthouse,10-20 years,None
450,1,1,Unfurnished,"Dilshad Colony, Dilshad Garden",,3300000,Ready_to_move,Resale,Apartment,7333.333333,Ground Floor,20+ years,Near Park
750,2,1,Unfurnished,"Guru Teg Bahadur Enclave, Dilshad Garden",,7350000,Ready_to_move,Resale,Apartment,9800,Penthouse,20+ years,Near Mall
1500,4,1,Unfurnished,"Dilshad Garden carpet area 1500 sqft status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Unfurnished bathroom 1 balcony 2 Mig dda flat located at a very prime location near to market, school, hospital, metro station etc. Contact Owner View Phone No. Share Feedback Owner R",,12500000,Ready_to_move,Resale,Apartment,8333.333333,3rd Floor,10-20 years,Near Mall
400,1,1,Semi-Furnished,"Dilshad Colony, Dilshad Garden",1,3500000,Ready_to_move,Resale,Apartment,8750,3rd Floor,10-20 years,Near Metro
650,2,2,Unfurnished,"Dilshad Colony, Dilshad Garden",1,6500000,Ready_to_move,Resale,Builder_Floor,10000,1st Floor,5-10 years,Near Metro
900,2,2,Furnished,"Dilshad Colony, Dilshad Garden",2,6900000,Ready_to_move,Resale,Builder_Floor,7666.666667,Penthouse,5-10 years,Near Mall
400,1,1,Unfurnished,"Dilshad Colony, Dilshad Garden",1,3600000,Ready_to_move,Resale,Builder_Floor,9000,Ground Floor,20+ years,Near Park
900,3,2,Semi-Furnished,"Dilshad Colony, Dilshad Garden",2,13500000,Ready_to_move,Resale,Apartment,15000,Penthouse,5-10 years,Near Mall
1000,3,2,Furnished,"DDA Flats Block A, Dilshad Garden",1,9200000,Ready_to_move,Resale,Apartment,9200,1st Floor,0-5 years,Near Park
405,1,1,Unfurnished,"Dilshad Colony, Dilshad Garden",1,2500000,Ready_to_move,Resale,Apartment,6172.839506,Ground Floor,5-10 years,Near Metro
1700,3,2,Furnished,"DDA Flats Block A, Dilshad Garden",1,17000000,Ready_to_move,Resale,Apartment,10000,Ground Floor,10-20 years,Near Park
800,3,2,Semi-Furnished,Dilshad Garden,1,9030000,Ready_to_move,Resale,Apartment,11287.5,Penthouse,20+ years,None
1076.39,3,2,Unfurnished,"Dilshad Colony, Dilshad Garden",10,9300000,Ready_to_move,Resale,Builder_Floor,8639.991081,Ground Floor,5-10 years,Near Mall
750,2,1,Semi-Furnished,"DDA Pocket JK, Dilshad Garden",2,6500000,Ready_to_move,New_Property,Apartment,8666.666667,Penthouse,10-20 years,Near Metro
460,2,1,Unfurnished,"Dilshad Colony, Dilshad Garden",2,3300000,Ready_to_move,Resale,Builder_Floor,7173.913043,1st Floor,0-5 years,Near Metro
370,1,1,Unfurnished,"Dilshad Colony, Dilshad Garden",2,2400000,Ready_to_move,Resale,Builder_Floor,6486.486486,2nd Floor,10-20 years,None
1800,3,3,Semi-Furnished,"Dilshad Colony, Dilshad Garden",1,15000000,Ready_to_move,New_Property,Builder_Floor,8333.333333,Penthouse,5-10 years,None
1080,3,1,Unfurnished,Dilshad Garden,1,7000000,Ready_to_move,New_Property,Apartment,6481.481481,2nd Floor,20+ years,Near Hospital
350,1,1,Unfurnished,"DDA Pocket E, Dilshad Garden",1,4200000,Ready_to_move,Resale,Apartment,12000,Ground Floor,20+ years,Near Hospital
500,2,1,Furnished,Dilshad Garden,1,5800000,Ready_to_move,Resale,Apartment,11600,1st Floor,0-5 years,Near Metro
900,3,2,Semi-Furnished,"Dilshad Colony, Dilshad Garden",1,4800000,Ready_to_move,Resale,Apartment,5333.333333,2nd Floor,20+ years,Near Hospital
800,2,2,Semi-Furnished,"Dilshad Colony, Dilshad Garden",1,7500000,Ready_to_move,Resale,Apartment,9375,Penthouse,0-5 years,Near Metro
350,1,1,Unfurnished,"DDA Flats Pocket O, Dilshad Garden",1,3000000,Ready_to_move,Resale,Apartment,8571.428571,Penthouse,20+ years,Near Park
430.556,1,1,Unfurnished,Dilshad Garden,1,4300000,Ready_to_move,Resale,Apartment,9987.086465,1st Floor,5-10 years,Near Park
500,1,1,Semi-Furnished,"Dilshad Colony, Dilshad Garden",1,2600000,Ready_to_move,Resale,Builder_Floor,5200,Penthouse,10-20 years,None
1450,2,2,Unfurnished,Dilshad Garden,1,7000000,Ready_to_move,Resale,Apartment,4827.586207,Penthouse,5-10 years,Near Park
800,2,2,Unfurnished,"Dilshad Colony, Dilshad Garden",1,6000000,Ready_to_move,Resale,Builder_Floor,7500,Ground Floor,20+ years,Near Hospital
1000,2,2,Semi-Furnished,"Dilshad Colony, Dilshad Garden",1,6700000,Ready_to_move,Resale,Apartment,6700,2nd Floor,0-5 years,Near Mall
1000,3,3,Furnished,"DDA Pocket I, Dilshad Garden",1,9500000,Ready_to_move,Resale,Apartment,9500,1st Floor,10-20 years,Near Mall
1600,3,2,Semi-Furnished,"DDA Flats Block A, Dilshad Garden",1,17000000,Ready_to_move,Resale,Apartment,10625,3rd Floor,5-10 years,Near Mall
900,2,2,Semi-Furnished,Vasundhara Enclave,,8000000,Ready_to_move,Resale,Apartment,8888.888889,3rd Floor,20+ years,Near Hospital
1500,3,3,Semi-Furnished,Vasundhara Enclave,1,12000000,Ready_to_move,Resale,Apartment,8000,Ground Floor,5-10 years,Near Park
1050,2,2,Semi-Furnished,Vasundhara Enclave,1,9000000,Ready_to_move,Resale,Apartment,8571.428571,Ground Floor,20+ years,Near Metro
1300,3,2,Semi-Furnished,"Samrat Apartment, Vasundhara Enclave",2,11500000,Ready_to_move,Resale,Apartment,8846.153846,2nd Floor,20+ years,Near Mall
1600,4,3,Furnished,"Mangal Apartment, Vasundhara Enclave carpet area 1600 sqft status Ready to Move floor 4 out of 7 floors transaction Resale furnishing Furnished facing South - East overlooking Garden/Park, Main Road society Mangal Apartment car parking 1 Open bathroom 3 balcony 1 ownership Freehold Fully furnished , complete marble flooring, ready to move in. Contact Owner View Phone No. Share Feedback Owner Shailendra",1,20000000,Ready_to_move,Resale,Apartment,12500,3rd Floor,0-5 years,Near Hospital
900,2,2,Semi-Furnished,"Prayag Apartments, Vasundhara Enclave carpet area 900 sqft status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Semi-Furnished overlooking Garden/Park, Main Road society Prayag Apartments car parking 1 Open bathroom 2 balcony 2 ownership Freehold This is 2 BHK apartment , with 2 Bathroom and one parking.This is East facing Flat.Near Metro Station is Ashok Nagar read more Contact Owner View Phone No. Share Feedback Owner Sameer Kumar",1,8550000,Ready_to_move,Resale,Apartment,9500,1st Floor,10-20 years,Near Hospital
1350,4,4,Semi-Furnished,"Abhimanyu Apartments, Vasundhara Enclave",1,10500000,Ready_to_move,Resale,Apartment,7777.777778,Penthouse,5-10 years,Near Hospital
1000,3,2,Furnished,"Fancy Apartments, Vasundhara Enclave",2,12000000,Ready_to_move,Resale,Apartment,12000,Penthouse,20+ years,Near Park
1400,3,2,Unfurnished,"Shantidoot Apartment, Vasundhara Enclave",1,11000000,Ready_to_move,Resale,Apartment,7857.142857,3rd Floor,0-5 years,Near Mall
975,3,2,Semi-Furnished,Vasundhara Enclave,1,12000000,Ready_to_move,Resale,Apartment,12307.69231,2nd Floor,20+ years,None
900,2,2,Unfurnished,"Mangal Apartment, Vasundhara Enclave",114,9000000,Ready_to_move,Resale,Apartment,10000,1st Floor,0-5 years,Near Park
1100,2,2,Semi-Furnished,Vasundhara Enclave,114,10000000,Ready_to_move,Resale,Apartment,9090.909091,3rd Floor,10-20 years,Near Metro
950,2,2,Unfurnished,Vasundhara Enclave,114,8100000,Ready_to_move,Resale,Apartment,8526.315789,Ground Floor,5-10 years,Near Mall
1300,3,3,Furnished,Vasundhara Enclave,1,9200000,Ready_to_move,Resale,Apartment,7076.923077,1st Floor,0-5 years,Near Park
1459,3,3,Semi-Furnished,Vasundhara Enclave,1,14200000,Ready_to_move,Resale,Apartment,9732.693626,Penthouse,5-10 years,None
1000,2,2,Semi-Furnished,"Satyam Apartment, Vasundhara Enclave",1,7500000,Ready_to_move,Resale,Apartment,7500,Penthouse,5-10 years,Near Mall
1100,2,2,Semi-Furnished,"Samrat Apartment, Vasundhara Enclave",1,9500000,Ready_to_move,Resale,Apartment,8636.363636,2nd Floor,20+ years,Near Metro
1450,3,2,Furnished,"Satyam Apartment, Vasundhara Enclave",1,14000000,Ready_to_move,Resale,Apartment,9655.172414,Penthouse,20+ years,Near Park
1450,3,3,Semi-Furnished,"Abhimanyu Apartments, Vasundhara Enclave",1,11600000,Ready_to_move,Resale,Apartment,8000,3rd Floor,20+ years,Near Park
1150,3,3,Semi-Furnished,Vasundhara Enclave,1,12000000,Ready_to_move,Resale,Apartment,10434.78261,2nd Floor,10-20 years,Near Park
780,2,2,Semi-Furnished,Vasundhara Enclave,1,7500000,Ready_to_move,Resale,Apartment,9615.384615,Ground Floor,5-10 years,Near Metro
1300,3,2,Semi-Furnished,"Anekant Apartment, Vasundhara Enclave",2,9800000,Ready_to_move,Resale,Apartment,7538.461538,3rd Floor,0-5 years,Near Mall
1350,3,3,Semi-Furnished,"New Delhi Apartment, Vasundhara Enclave",1,12000000,Ready_to_move,Resale,Apartment,8888.888889,1st Floor,5-10 years,Near Mall
1200,3,2,Semi-Furnished,"Mahesh Apartment, Vasundhara Enclave",1,12500000,Ready_to_move,Resale,Apartment,10416.66667,1st Floor,5-10 years,Near Mall
1460,3,3,Semi-Furnished,"Pawittra Apartment, Vasundhara Enclave",1,16500000,Ready_to_move,Resale,Apartment,11301.36986,Ground Floor,10-20 years,Near Metro
1460,3,3,Unfurnished,Vasundhara Enclave,1,12000000,Ready_to_move,Resale,Apartment,8219.178082,Penthouse,5-10 years,Near Metro
1100,2,2,Unfurnished,Vasundhara Enclave,1,7200000,Ready_to_move,Resale,Apartment,6545.454545,Ground Floor,20+ years,Near Mall
1500,3,3,Furnished,"Capital Apartment, Vasundhara Enclave",2,15000000,Ready_to_move,Resale,Apartment,10000,Penthouse,5-10 years,Near Hospital
1050,2,2,Semi-Furnished,"Hindon Apartment, Vasundhara Enclave",1,10000000,Ready_to_move,Resale,Apartment,9523.809524,3rd Floor,0-5 years,Near Hospital
1350,3,3,Semi-Furnished,"Gobind Apartment, Vasundhara Enclave",1,11000000,Ready_to_move,Resale,Apartment,8148.148148,1st Floor,0-5 years,Near Hospital
1500,2,2,Furnished,"Godrej South Estate, Okhla",2,24700000,Almost_ready,New_Property,Apartment,16466.66667,3rd Floor,20+ years,Near Hospital
976,2,2,Furnished,"Godrej South Estate, Okhla",2,24900000,Almost_ready,New_Property,Apartment,25512.29508,1st Floor,5-10 years,Near Park
540,2,1,Semi-Furnished,"Abul Fazal Enclave Part 1, Okhla",1,3600000,Ready_to_move,New_Property,Builder_Floor,6666.666667,3rd Floor,10-20 years,Near Mall
450,1,1,Semi-Furnished,"Batla House, Okhla",1,1700000,Ready_to_move,New_Property,Builder_Floor,3777.777778,2nd Floor,5-10 years,Near Park
900,2,2,Unfurnished,"Sukhdev Vihar, Okhla",1,11000000,Ready_to_move,Resale,Apartment,12222.22222,Ground Floor,10-20 years,Near Park
2500,4,4,Semi-Furnished,"Sukhdev Vihar, Okhla",2,75000000,Ready_to_move,Resale,Builder_Floor,30000,1st Floor,20+ years,None
979.5149,2,2,Unfurnished,"Godrej South Estate, Okhla Phase 1",1,24800000,Almost_ready,New_Property,Apartment,25318.65518,Penthouse,20+ years,Near Mall
945,2,2,Semi-Furnished,"Godrej South Estate, Okhla Phase 1",1,24900000,Almost_ready,New_Property,Apartment,26349.20635,Penthouse,0-5 years,Near Park
976,2,2,Unfurnished,"Godrej South Estate, Okhla Phase 1",2,24900000,Almost_ready,New_Property,Apartment,25512.29508,1st Floor,5-10 years,Near Park
1531,2,2,Unfurnished,"Godrej South Estate, Okhla",2,25900000,Almost_ready,New_Property,Apartment,16917.04768,2nd Floor,20+ years,Near Park
1000,2,2,Unfurnished,"Sukhdev Vihar, Okhla",2,11700000,Ready_to_move,Resale,Builder_Floor,11700,2nd Floor,5-10 years,Near Metro
750,3,2,Furnished,"Sukhdev Vihar, Okhla",2,13500000,Ready_to_move,Resale,Apartment,18000,Ground Floor,20+ years,Near Hospital
900,3,2,Furnished,"Abul Fazal Enclave Part-II, Okhla",1,5500000,Ready_to_move,Resale,Builder_Floor,6111.111111,3rd Floor,0-5 years,Near Hospital
1512,2,2,Unfurnished,"Godrej South Estate, Okhla",1,30000000,Almost_ready,New_Property,Apartment,19841.26984,2nd Floor,20+ years,Near Park
35,3,2,Semi-Furnished,"Abul Fazal Enclave Part 1, Okhla",2,4950000,Ready_to_move,Resale,Apartment,141428.5714,3rd Floor,5-10 years,Near Park
1500,3,2,Semi-Furnished,"Sukhdev Vihar, Okhla",1,16000000,Ready_to_move,Resale,Apartment,10666.66667,Ground Floor,5-10 years,Near Metro
2907,4,4,Semi-Furnished,"Sukhdev Vihar, Okhla",1,30000000,Ready_to_move,Resale,Apartment,10319.91744,1st Floor,10-20 years,Near Mall
2210,4,3,Semi-Furnished,"Sukhdev Vihar, Okhla",1,41000000,Ready_to_move,Resale,Builder_Floor,18552.0362,1st Floor,0-5 years,Near Metro
750,2,2,Semi-Furnished,"Abul Fazal Enclave Part-II, Okhla",1,3800000,Ready_to_move,Resale,Builder_Floor,5066.666667,Ground Floor,0-5 years,Near Hospital
2518.7526,4,5,Unfurnished,"Godrej South Estate, Okhla Phase 1",2,68900000,Almost_ready,New_Property,Apartment,27354.81047,Penthouse,10-20 years,Near Metro
588,2,2,Unfurnished,"Jamia Nagar, Okhla",2,1800000,Ready_to_move,New_Property,Apartment,3061.22449,3rd Floor,5-10 years,Near Hospital
540,2,1,Unfurnished,"Zakir Nagar, New Friends Colony",2,1500000,Ready_to_move,Resale,Builder_Floor,2777.777778,Ground Floor,0-5 years,Near Metro
1100,3,3,Semi-Furnished,"Sukhdev Vihar, Okhla",2,12500000,Ready_to_move,Resale,Apartment,11363.63636,Ground Floor,0-5 years,None
550,2,1,Semi-Furnished,"Batla House, Okhla",2,1600000,Ready_to_move,Resale,Apartment,2909.090909,2nd Floor,20+ years,Near Mall
750,3,2,Semi-Furnished,"Batla House Project, Batla House, Okhla",1,2400000,Ready_to_move,Resale,Builder_Floor,3200,Ground Floor,10-20 years,Near Park
1260,3,2,Semi-Furnished,"Abul Fazal Enclave Part 1, Okhla",1,7000000,Ready_to_move,Resale,Builder_Floor,5555.555556,Penthouse,0-5 years,Near Park
675,2,2,Unfurnished,"Abul Fazal Enclave Part-II, Okhla",1,3100000,Ready_to_move,Resale,Builder_Floor,4592.592593,Penthouse,5-10 years,Near Park
810,2,2,Semi-Furnished,"Sukhdev Vihar, Okhla",1,14500000,Ready_to_move,Resale,Apartment,17901.23457,2nd Floor,5-10 years,None
3150,4,5,Semi-Furnished,"Sukhdev Vihar, Okhla",3,61500000,Ready_to_move,New_Property,Builder_Floor,19523.80952,1st Floor,0-5 years,None
2000,4,4,Semi-Furnished,"Sukhdev Vihar, Okhla",1,27500000,Ready_to_move,Resale,Builder_Floor,13750,1st Floor,5-10 years,Near Hospital
1775,3,3,Semi-Furnished,"The Amaryllis, Karol Bagh",1,25500000,Almost_ready,New_Property,Apartment,14366.19718,Penthouse,20+ years,None
1135,3,3,Furnished,"The Amaryllis, Karol Bagh",2,25000000,Almost_ready,Resale,Apartment,22026.43172,1st Floor,0-5 years,Near Hospital
1252,2,2,Semi-Furnished,"The Amaryllis, Karol Bagh",1,18500000,Almost_ready,New_Property,Apartment,14776.35783,1st Floor,5-10 years,Near Mall
2000,4,4,Semi-Furnished,"The Amaryllis, Karol Bagh",1,39700000,Almost_ready,New_Property,Apartment,19850,Ground Floor,0-5 years,None
530,4,1,Semi-Furnished,"Dev Nagar, Karol Bagh",1,6800000,Ready_to_move,Resale,Apartment,12830.18868,1st Floor,20+ years,Near Park
1332,3,2,Semi-Furnished,"Beadon Pura, Karol Bagh How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. carpet area 148 sqyrd status Ready to Move floor 3 out of 3 floors transaction Resale furnishing Semi-Furnished bathroom 2 balcony 3 ownership Freehold Contact Now Enquire Now Auction By Bank",1,6540000,Ready_to_move,Resale,Builder_Floor,4909.90991,Penthouse,10-20 years,Near Hospital
1017,3,3,Semi-Furnished,"The Amaryllis, Karol Bagh",1,22000000,Ready_to_move,New_Property,Apartment,21632.25172,1st Floor,20+ years,Near Hospital
1775,3,3,Semi-Furnished,"The Amaryllis, Karol Bagh",1,25500000,Almost_ready,New_Property,Apartment,14366.19718,Ground Floor,20+ years,None
987,2,2,Semi-Furnished,"The Amaryllis, Karol Bagh",1,17000000,Ready_to_move,New_Property,Apartment,17223.91084,Penthouse,20+ years,None
1912,3,3,Semi-Furnished,"The Amaryllis, Karol Bagh",1,27500000,Almost_ready,New_Property,Apartment,14382.84519,3rd Floor,20+ years,Near Park
5236,5,7,Unfurnished,"The Amaryllis, Karol Bagh",3,73700000,Almost_ready,New_Property,Apartment,14075.63025,Penthouse,20+ years,Near Metro
2805,4,4,Unfurnished,"The Amaryllis, Karol Bagh",2,52300000,Almost_ready,Resale,Apartment,18645.27629,2nd Floor,10-20 years,Near Park
1500,3,3,Unfurnished,"DDA Mig Flat, Prasad Nagar, Karol Bagh",2,16000000,Ready_to_move,Resale,Apartment,10666.66667,Penthouse,5-10 years,Near Metro
1280,3,3,Furnished,Karol Bagh,2,15000000,Ready_to_move,Resale,Builder_Floor,11718.75,Ground Floor,0-5 years,Near Mall
1775,3,3,Semi-Furnished,"The Amaryllis, Karol Bagh",1,25500000,Almost_ready,New_Property,Apartment,14366.19718,Ground Floor,0-5 years,Near Hospital
675,2,2,Semi-Furnished,Karol Bagh,1,10000000,Ready_to_move,Resale,Builder_Floor,14814.81481,Penthouse,10-20 years,Near Metro
576,2,2,Unfurnished,"Prasad Nagar, Karol Bagh",1,5000000,Ready_to_move,Resale,Apartment,8680.555556,3rd Floor,0-5 years,Near Metro
1206,3,3,Semi-Furnished,Karol Bagh,1,20000000,Ready_to_move,Resale,Builder_Floor,16583.74793,3rd Floor,10-20 years,Near Hospital
1143,2,2,Unfurnished,"DDA MIG Flats Prasad Nagar Phase 2, Prasad Nagar, Karol Bagh",1,16000000,Ready_to_move,Resale,Apartment,13998.25022,2nd Floor,0-5 years,None
345,1,1,Semi-Furnished,Karol Bagh,1,5500000,Ready_to_move,Resale,Builder_Floor,15942.02899,2nd Floor,20+ years,Near Park
720,2,1,Semi-Furnished,"Dev Nagar, Karol Bagh",1,7000000,Ready_to_move,Resale,Builder_Floor,9722.222222,Ground Floor,10-20 years,Near Hospital
468,2,2,Unfurnished,Karol Bagh,1,4100000,Ready_to_move,Resale,Builder_Floor,8760.683761,2nd Floor,10-20 years,Near Metro
1600,3,3,Semi-Furnished,"Karol Bagh carpet area 1600 sqft status Ready to Move floor 3 out of 3 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Covered, 1 Open bathroom 3 balcony 2 ownership Freehold Near to Karol Bagh Metro station...................................... Its a very peaceful location ....................................................................................................................... read more Contact Agent View Phone No. Share Feedback Agent S R B Properties",1,24000000,Ready_to_move,New_Property,Builder_Floor,15000,Ground Floor,5-10 years,Near Metro
950,2,2,Furnished,"DDA MIG Flats Prasad Nagar Phase 2, Prasad Nagar, Karol Bagh",1,12500000,Ready_to_move,Resale,Apartment,13157.89474,2nd Floor,0-5 years,None
535,2,1,Furnished,"Dev Nagar, Karol Bagh",1,3900000,Ready_to_move,New_Property,Apartment,7289.719626,1st Floor,0-5 years,None
1200,3,2,Semi-Furnished,Karol Bagh,1,14500000,Ready_to_move,Resale,Builder_Floor,12083.33333,Penthouse,5-10 years,Near Metro
1501,3,2,Semi-Furnished,"The Amaryllis, Karol Bagh",1,20000000,Almost_ready,Resale,Apartment,13324.45037,Ground Floor,10-20 years,Near Metro
1135,3,3,Furnished,"The Amaryllis, Karol Bagh",2,24500000,Almost_ready,Resale,Apartment,21585.90308,3rd Floor,10-20 years,Near Hospital
1200,3,2,Semi-Furnished,"The Amaryllis, Karol Bagh",1,20900000,Almost_ready,Resale,Apartment,17416.66667,Penthouse,5-10 years,Near Hospital
2200,3,3,Semi-Furnished,"The Amaryllis, Karol Bagh",1,43100000,Ready_to_move,New_Property,Apartment,19590.90909,1st Floor,10-20 years,Near Metro
1240,3,3,Unfurnished,"DLF Capital Greens, Moti Nagar, Kirti Nagar ( 1 km from New Moti Nagar, Kirti Nagar)",1,18000000,Ready_to_move,Resale,Apartment,14516.12903,Ground Floor,20+ years,Near Hospital
3002,4,5,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2,50000000,Ready_to_move,Resale,Apartment,16655.56296,2nd Floor,10-20 years,Near Mall
1350,3,2,Unfurnished,"New Moti Nagar, Kirti Nagar",1,18500000,Ready_to_move,Resale,Apartment,13703.7037,Ground Floor,0-5 years,Near Hospital
2300,4,5,Semi-Furnished,"New Moti Nagar, Kirti Nagar",3,46500000,Ready_to_move,New_Property,Apartment,20217.3913,Penthouse,5-10 years,Near Metro
1429,3,3,Unfurnished,"New Moti Nagar, Kirti Nagar",2,17500000,Ready_to_move,Resale,Apartment,12246.3261,Ground Floor,20+ years,Near Mall
2430,4,5,Semi-Furnished,"New Moti Nagar, Kirti Nagar",2,42500000,Ready_to_move,Resale,Apartment,17489.71193,3rd Floor,5-10 years,Near Park
1450,3,3,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2,15500000,Ready_to_move,New_Property,Apartment,10689.65517,Ground Floor,20+ years,Near Park
1250,2,2,Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2,15000000,Ready_to_move,Resale,Apartment,12000,2nd Floor,0-5 years,None
2800,4,4,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2,40000000,Ready_to_move,Resale,Apartment,14285.71429,3rd Floor,10-20 years,Near Park
1646,3,3,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",1,20000000,Ready_to_move,Resale,Apartment,12150.66829,2nd Floor,5-10 years,Near Metro
900,2,2,Semi-Furnished,"New Moti Nagar, Kirti Nagar",1,6700000,Ready_to_move,Resale,Apartment,7444.444444,2nd Floor,10-20 years,None
1250,3,2,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",1,16000000,Ready_to_move,Resale,Apartment,12800,Ground Floor,5-10 years,None
900,3,2,Unfurnished,"New Moti Nagar, Kirti Nagar",1,8000000,Ready_to_move,Resale,Builder_Floor,8888.888889,3rd Floor,0-5 years,None
1590,3,2,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2,25000000,Ready_to_move,New_Property,Apartment,15723.27044,2nd Floor,5-10 years,Near Mall
990,3,2,Unfurnished,"New Moti Nagar, Kirti Nagar",2,25000000,Ready_to_move,Resale,Apartment,25252.52525,2nd Floor,5-10 years,Near Mall
2282,4,5,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2,37500000,Ready_to_move,Resale,Apartment,16432.95355,3rd Floor,10-20 years,Near Park
1260,3,3,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",1,25000000,Ready_to_move,Resale,Apartment,19841.26984,2nd Floor,20+ years,Near Hospital
1457,3,3,Unfurnished,"New Moti Nagar, Kirti Nagar",1,23000000,Ready_to_move,Resale,Apartment,15785.86136,3rd Floor,5-10 years,Near Hospital
